Region/Country/Area,,Year,Series,Value,Footnotes
2,Africa,2020,Employment by industry: Agriculture (%) Male and Female,48.67,Estimate.
2,Africa,2020,Employment by industry: Industry (%) Male and Female,13.259,Estimate.
2,Africa,2020,Employment by industry: Services (%) Male and Female,38.071,Estimate.
2,Africa,2020,Employment by industry: Agriculture (%) Male,47.07,Estimate.
2,Africa,2020,Employment by industry: Industry (%) Male,17.066,Estimate.
2,Africa,2020,Employment by industry: Services (%) Male,35.864,Estimate.
2,Africa,2020,Employment by industry: Agriculture (%) Female,50.772,Estimate.
2,Africa,2020,Employment by industry: Industry (%) Female,8.258,Estimate.
2,Africa,2020,Employment by industry: Services (%) Female,40.969,Estimate.
15,Northern Africa,2005,Employment by industry: Agriculture (%) Male and Female,33.263,Estimate.
15,Northern Africa,2005,Employment by industry: Industry (%) Male and Female,21.493,Estimate.
15,Northern Africa,2005,Employment by industry: Services (%) Male and Female,45.244,Estimate.
15,Northern Africa,2005,Employment by industry: Agriculture (%) Male,29.726,Estimate.
15,Northern Africa,2005,Employment by industry: Industry (%) Male,24.004,Estimate.
15,Northern Africa,2005,Employment by industry: Services (%) Male,46.271,Estimate.
15,Northern Africa,2005,Employment by industry: Agriculture (%) Female,46.399,Estimate.
15,Northern Africa,2005,Employment by industry: Industry (%) Female,12.17,Estimate.
15,Northern Africa,2005,Employment by industry: Services (%) Female,41.431,Estimate.
15,Northern Africa,2010,Employment by industry: Agriculture (%) Male and Female,29.234,Estimate.
15,Northern Africa,2010,Employment by industry: Industry (%) Male and Female,24.51,Estimate.
15,Northern Africa,2010,Employment by industry: Services (%) Male and Female,46.257,Estimate.
15,Northern Africa,2010,Employment by industry: Agriculture (%) Male,25.522,Estimate.
15,Northern Africa,2010,Employment by industry: Industry (%) Male,28.072,Estimate.
15,Northern Africa,2010,Employment by industry: Services (%) Male,46.406,Estimate.
15,Northern Africa,2010,Employment by industry: Agriculture (%) Female,42.849,Estimate.
15,Northern Africa,2010,Employment by industry: Industry (%) Female,11.442,Estimate.
15,Northern Africa,2010,Employment by industry: Services (%) Female,45.709,Estimate.
15,Northern Africa,2015,Employment by industry: Agriculture (%) Male and Female,26.71,Estimate.
15,Northern Africa,2015,Employment by industry: Industry (%) Male and Female,24.634,Estimate.
15,Northern Africa,2015,Employment by industry: Services (%) Male and Female,48.656,Estimate.
15,Northern Africa,2015,Employment by industry: Agriculture (%) Male,23.231,Estimate.
15,Northern Africa,2015,Employment by industry: Industry (%) Male,28.373,Estimate.
15,Northern Africa,2015,Employment by industry: Services (%) Male,48.396,Estimate.
15,Northern Africa,2015,Employment by industry: Agriculture (%) Female,39.204,Estimate.
15,Northern Africa,2015,Employment by industry: Industry (%) Female,11.205,Estimate.
15,Northern Africa,2015,Employment by industry: Services (%) Female,49.591,Estimate.
15,Northern Africa,2020,Employment by industry: Agriculture (%) Male and Female,24.789,Estimate.
15,Northern Africa,2020,Employment by industry: Industry (%) Male and Female,25.574,Estimate.
15,Northern Africa,2020,Employment by industry: Services (%) Male and Female,49.637,Estimate.
15,Northern Africa,2020,Employment by industry: Agriculture (%) Male,21.661,Estimate.
15,Northern Africa,2020,Employment by industry: Industry (%) Male,29.605,Estimate.
15,Northern Africa,2020,Employment by industry: Services (%) Male,48.734,Estimate.
15,Northern Africa,2020,Employment by industry: Agriculture (%) Female,35.966,Estimate.
15,Northern Africa,2020,Employment by industry: Industry (%) Female,11.17,Estimate.
15,Northern Africa,2020,Employment by industry: Services (%) Female,52.864,Estimate.
202,Sub-Saharan Africa,2005,Employment by industry: Agriculture (%) Male and Female,61.023,Estimate.
202,Sub-Saharan Africa,2005,Employment by industry: Industry (%) Male and Female,9.737,Estimate.
202,Sub-Saharan Africa,2005,Employment by industry: Services (%) Male and Female,29.24,Estimate.
202,Sub-Saharan Africa,2005,Employment by industry: Agriculture (%) Male,59.547,Estimate.
202,Sub-Saharan Africa,2005,Employment by industry: Industry (%) Male,11.879,Estimate.
202,Sub-Saharan Africa,2005,Employment by industry: Services (%) Male,28.574,Estimate.
202,Sub-Saharan Africa,2005,Employment by industry: Agriculture (%) Female,62.709,Estimate.
202,Sub-Saharan Africa,2005,Employment by industry: Industry (%) Female,7.291,Estimate.
202,Sub-Saharan Africa,2005,Employment by industry: Services (%) Female,29.999,Estimate.
202,Sub-Saharan Africa,2010,Employment by industry: Agriculture (%) Male and Female,58.08,Estimate.
202,Sub-Saharan Africa,2010,Employment by industry: Industry (%) Male and Female,9.866,Estimate.
202,Sub-Saharan Africa,2010,Employment by industry: Services (%) Male and Female,32.053,Estimate.
202,Sub-Saharan Africa,2010,Employment by industry: Agriculture (%) Male,57.469,Estimate.
202,Sub-Saharan Africa,2010,Employment by industry: Industry (%) Male,12.04,Estimate.
202,Sub-Saharan Africa,2010,Employment by industry: Services (%) Male,30.491,Estimate.
202,Sub-Saharan Africa,2010,Employment by industry: Agriculture (%) Female,58.779,Estimate.
202,Sub-Saharan Africa,2010,Employment by industry: Industry (%) Female,7.381,Estimate.
202,Sub-Saharan Africa,2010,Employment by industry: Services (%) Female,33.839,Estimate.
202,Sub-Saharan Africa,2015,Employment by industry: Agriculture (%) Male and Female,54.537,Estimate.
202,Sub-Saharan Africa,2015,Employment by industry: Industry (%) Male and Female,10.92,Estimate.
202,Sub-Saharan Africa,2015,Employment by industry: Services (%) Male and Female,34.543,Estimate.
202,Sub-Saharan Africa,2015,Employment by industry: Agriculture (%) Male,54.693,Estimate.
202,Sub-Saharan Africa,2015,Employment by industry: Industry (%) Male,13.526,Estimate.
202,Sub-Saharan Africa,2015,Employment by industry: Services (%) Male,31.781,Estimate.
202,Sub-Saharan Africa,2015,Employment by industry: Agriculture (%) Female,54.357,Estimate.
202,Sub-Saharan Africa,2015,Employment by industry: Industry (%) Female,7.931,Estimate.
202,Sub-Saharan Africa,2015,Employment by industry: Services (%) Female,37.712,Estimate.
202,Sub-Saharan Africa,2020,Employment by industry: Agriculture (%) Male and Female,52.622,Estimate.
202,Sub-Saharan Africa,2020,Employment by industry: Industry (%) Male and Female,11.221,Estimate.
202,Sub-Saharan Africa,2020,Employment by industry: Services (%) Male and Female,36.157,Estimate.
202,Sub-Saharan Africa,2020,Employment by industry: Agriculture (%) Male,53.24,Estimate.
202,Sub-Saharan Africa,2020,Employment by industry: Industry (%) Male,14.021,Estimate.
202,Sub-Saharan Africa,2020,Employment by industry: Services (%) Male,32.739,Estimate.
202,Sub-Saharan Africa,2020,Employment by industry: Agriculture (%) Female,51.918,Estimate.
202,Sub-Saharan Africa,2020,Employment by industry: Industry (%) Female,8.033,Estimate.
202,Sub-Saharan Africa,2020,Employment by industry: Services (%) Female,40.049,Estimate.
14,Eastern Africa,2005,Employment by industry: Agriculture (%) Male and Female,73.184,Estimate.
14,Eastern Africa,2005,Employment by industry: Industry (%) Male and Female,6.775,Estimate.
14,Eastern Africa,2005,Employment by industry: Services (%) Male and Female,20.041,Estimate.
14,Eastern Africa,2005,Employment by industry: Agriculture (%) Male,70.312,Estimate.
14,Eastern Africa,2005,Employment by industry: Industry (%) Male,8.614,Estimate.
14,Eastern Africa,2005,Employment by industry: Services (%) Male,21.074,Estimate.
14,Eastern Africa,2005,Employment by industry: Agriculture (%) Female,76.33,Estimate.
14,Eastern Africa,2005,Employment by industry: Industry (%) Female,4.76,Estimate.
14,Eastern Africa,2005,Employment by industry: Services (%) Female,18.91,Estimate.
14,Eastern Africa,2010,Employment by industry: Agriculture (%) Male and Female,69.672,Estimate.
14,Eastern Africa,2010,Employment by industry: Industry (%) Male and Female,7.449,Estimate.
14,Eastern Africa,2010,Employment by industry: Services (%) Male and Female,22.879,Estimate.
14,Eastern Africa,2010,Employment by industry: Agriculture (%) Male,67.399,Estimate.
14,Eastern Africa,2010,Employment by industry: Industry (%) Male,9.617,Estimate.
14,Eastern Africa,2010,Employment by industry: Services (%) Male,22.984,Estimate.
14,Eastern Africa,2010,Employment by industry: Agriculture (%) Female,72.164,Estimate.
14,Eastern Africa,2010,Employment by industry: Industry (%) Female,5.072,Estimate.
14,Eastern Africa,2010,Employment by industry: Services (%) Female,22.764,Estimate.
14,Eastern Africa,2015,Employment by industry: Agriculture (%) Male and Female,66.218,Estimate.
14,Eastern Africa,2015,Employment by industry: Industry (%) Male and Female,8.148,Estimate.
14,Eastern Africa,2015,Employment by industry: Services (%) Male and Female,25.634,Estimate.
14,Eastern Africa,2015,Employment by industry: Agriculture (%) Male,64.949,Estimate.
14,Eastern Africa,2015,Employment by industry: Industry (%) Male,10.688,Estimate.
14,Eastern Africa,2015,Employment by industry: Services (%) Male,24.363,Estimate.
14,Eastern Africa,2015,Employment by industry: Agriculture (%) Female,67.614,Estimate.
14,Eastern Africa,2015,Employment by industry: Industry (%) Female,5.354,Estimate.
14,Eastern Africa,2015,Employment by industry: Services (%) Female,27.032,Estimate.
14,Eastern Africa,2020,Employment by industry: Agriculture (%) Male and Female,63.691,Estimate.
14,Eastern Africa,2020,Employment by industry: Industry (%) Male and Female,8.679,Estimate.
14,Eastern Africa,2020,Employment by industry: Services (%) Male and Female,27.629,Estimate.
14,Eastern Africa,2020,Employment by industry: Agriculture (%) Male,62.985,Estimate.
14,Eastern Africa,2020,Employment by industry: Industry (%) Male,11.562,Estimate.
14,Eastern Africa,2020,Employment by industry: Services (%) Male,25.453,Estimate.
14,Eastern Africa,2020,Employment by industry: Agriculture (%) Female,64.461,Estimate.
14,Eastern Africa,2020,Employment by industry: Industry (%) Female,5.537,Estimate.
14,Eastern Africa,2020,Employment by industry: Services (%) Female,30.002,Estimate.
18,Southern Africa,2005,Employment by industry: Agriculture (%) Male and Female,8.864,Estimate.
18,Southern Africa,2005,Employment by industry: Industry (%) Male and Female,26.337,Estimate.
18,Southern Africa,2005,Employment by industry: Services (%) Male and Female,64.799,Estimate.
18,Southern Africa,2005,Employment by industry: Agriculture (%) Male,10.253,Estimate.
18,Southern Africa,2005,Employment by industry: Industry (%) Male,33.976,Estimate.
18,Southern Africa,2005,Employment by industry: Services (%) Male,55.771,Estimate.
18,Southern Africa,2005,Employment by industry: Agriculture (%) Female,6.758,Estimate.
18,Southern Africa,2005,Employment by industry: Industry (%) Female,14.751,Estimate.
18,Southern Africa,2005,Employment by industry: Services (%) Female,78.491,Estimate.
18,Southern Africa,2010,Employment by industry: Agriculture (%) Male and Female,6.878,Estimate.
18,Southern Africa,2010,Employment by industry: Industry (%) Male and Female,24.508,Estimate.
18,Southern Africa,2010,Employment by industry: Services (%) Male and Female,68.613,Estimate.
18,Southern Africa,2010,Employment by industry: Agriculture (%) Male,7.91,Estimate.
18,Southern Africa,2010,Employment by industry: Industry (%) Male,32.596,Estimate.
18,Southern Africa,2010,Employment by industry: Services (%) Male,59.494,Estimate.
18,Southern Africa,2010,Employment by industry: Agriculture (%) Female,5.495,Estimate.
18,Southern Africa,2010,Employment by industry: Industry (%) Female,13.668,Estimate.
18,Southern Africa,2010,Employment by industry: Services (%) Female,80.837,Estimate.
18,Southern Africa,2015,Employment by industry: Agriculture (%) Male and Female,7.291,Estimate.
18,Southern Africa,2015,Employment by industry: Industry (%) Male and Female,24.06,Estimate.
18,Southern Africa,2015,Employment by industry: Services (%) Male and Female,68.649,Estimate.
18,Southern Africa,2015,Employment by industry: Agriculture (%) Male,8.501,Estimate.
18,Southern Africa,2015,Employment by industry: Industry (%) Male,33.142,Estimate.
18,Southern Africa,2015,Employment by industry: Services (%) Male,58.357,Estimate.
18,Southern Africa,2015,Employment by industry: Agriculture (%) Female,5.735,Estimate.
18,Southern Africa,2015,Employment by industry: Industry (%) Female,12.38,Estimate.
18,Southern Africa,2015,Employment by industry: Services (%) Female,81.884,Estimate.
18,Southern Africa,2020,Employment by industry: Agriculture (%) Male and Female,6.596,Estimate.
18,Southern Africa,2020,Employment by industry: Industry (%) Male and Female,23.017,Estimate.
18,Southern Africa,2020,Employment by industry: Services (%) Male and Female,70.387,Estimate.
18,Southern Africa,2020,Employment by industry: Agriculture (%) Male,7.878,Estimate.
18,Southern Africa,2020,Employment by industry: Industry (%) Male,31.819,Estimate.
18,Southern Africa,2020,Employment by industry: Services (%) Male,60.302,Estimate.
18,Southern Africa,2020,Employment by industry: Agriculture (%) Female,4.986,Estimate.
18,Southern Africa,2020,Employment by industry: Industry (%) Female,11.965,Estimate.
18,Southern Africa,2020,Employment by industry: Services (%) Female,83.049,Estimate.
11,Western Africa,2005,Employment by industry: Agriculture (%) Male and Female,52.142,Estimate.
11,Western Africa,2005,Employment by industry: Industry (%) Male and Female,11.443,Estimate.
11,Western Africa,2005,Employment by industry: Services (%) Male and Female,36.415,Estimate.
11,Western Africa,2005,Employment by industry: Agriculture (%) Male,55.77,Estimate.
11,Western Africa,2005,Employment by industry: Industry (%) Male,11.563,Estimate.
11,Western Africa,2005,Employment by industry: Services (%) Male,32.666,Estimate.
11,Western Africa,2005,Employment by industry: Agriculture (%) Female,47.764,Estimate.
11,Western Africa,2005,Employment by industry: Industry (%) Female,11.299,Estimate.
11,Western Africa,2005,Employment by industry: Services (%) Female,40.938,Estimate.
11,Western Africa,2010,Employment by industry: Agriculture (%) Male and Female,48.218,Estimate.
11,Western Africa,2010,Employment by industry: Industry (%) Male and Female,11.208,Estimate.
11,Western Africa,2010,Employment by industry: Services (%) Male and Female,40.574,Estimate.
11,Western Africa,2010,Employment by industry: Agriculture (%) Male,52.974,Estimate.
11,Western Africa,2010,Employment by industry: Industry (%) Male,11.248,Estimate.
11,Western Africa,2010,Employment by industry: Services (%) Male,35.778,Estimate.
11,Western Africa,2010,Employment by industry: Agriculture (%) Female,42.466,Estimate.
11,Western Africa,2010,Employment by industry: Industry (%) Female,11.16,Estimate.
11,Western Africa,2010,Employment by industry: Services (%) Female,46.375,Estimate.
11,Western Africa,2015,Employment by industry: Agriculture (%) Male and Female,42.55,Estimate.
11,Western Africa,2015,Employment by industry: Industry (%) Male and Female,13.287,Estimate.
11,Western Africa,2015,Employment by industry: Services (%) Male and Female,44.163,Estimate.
11,Western Africa,2015,Employment by industry: Agriculture (%) Male,48.388,Estimate.
11,Western Africa,2015,Employment by industry: Industry (%) Male,13.535,Estimate.
11,Western Africa,2015,Employment by industry: Services (%) Male,38.078,Estimate.
11,Western Africa,2015,Employment by industry: Agriculture (%) Female,35.358,Estimate.
11,Western Africa,2015,Employment by industry: Industry (%) Female,12.981,Estimate.
11,Western Africa,2015,Employment by industry: Services (%) Female,51.661,Estimate.
11,Western Africa,2020,Employment by industry: Agriculture (%) Male and Female,39.912,Estimate.
11,Western Africa,2020,Employment by industry: Industry (%) Male and Female,13.929,Estimate.
11,Western Africa,2020,Employment by industry: Services (%) Male and Female,46.159,Estimate.
11,Western Africa,2020,Employment by industry: Agriculture (%) Male,46.19,Estimate.
11,Western Africa,2020,Employment by industry: Industry (%) Male,14.35,Estimate.
11,Western Africa,2020,Employment by industry: Services (%) Male,39.46,Estimate.
11,Western Africa,2020,Employment by industry: Agriculture (%) Female,32.173,Estimate.
11,Western Africa,2020,Employment by industry: Industry (%) Female,13.411,Estimate.
11,Western Africa,2020,Employment by industry: Services (%) Female,54.416,Estimate.
19,Americas,2005,Employment by industry: Agriculture (%) Male and Female,11.216,Estimate.
19,Americas,2005,Employment by industry: Industry (%) Male and Female,21.961,Estimate.
19,Americas,2005,Employment by industry: Services (%) Male and Female,66.823,Estimate.
19,Americas,2005,Employment by industry: Agriculture (%) Male,14.839,Estimate.
19,Americas,2005,Employment by industry: Industry (%) Male,28.974,Estimate.
19,Americas,2005,Employment by industry: Services (%) Male,56.187,Estimate.
19,Americas,2005,Employment by industry: Agriculture (%) Female,6.21,Estimate.
19,Americas,2005,Employment by industry: Industry (%) Female,12.273,Estimate.
19,Americas,2005,Employment by industry: Services (%) Female,81.517,Estimate.
19,Americas,2010,Employment by industry: Agriculture (%) Male and Female,10.031,Estimate.
19,Americas,2010,Employment by industry: Industry (%) Male and Female,20.871,Estimate.
19,Americas,2010,Employment by industry: Services (%) Male and Female,69.098,Estimate.
19,Americas,2010,Employment by industry: Agriculture (%) Male,13.719,Estimate.
19,Americas,2010,Employment by industry: Industry (%) Male,28.196,Estimate.
19,Americas,2010,Employment by industry: Services (%) Male,58.085,Estimate.
19,Americas,2010,Employment by industry: Agriculture (%) Female,5.065,Estimate.
19,Americas,2010,Employment by industry: Industry (%) Female,11.008,Estimate.
19,Americas,2010,Employment by industry: Services (%) Female,83.927,Estimate.
19,Americas,2015,Employment by industry: Agriculture (%) Male and Female,9.122,Estimate.
19,Americas,2015,Employment by industry: Industry (%) Male and Female,20.917,Estimate.
19,Americas,2015,Employment by industry: Services (%) Male and Female,69.961,Estimate.
19,Americas,2015,Employment by industry: Agriculture (%) Male,12.537,Estimate.
19,Americas,2015,Employment by industry: Industry (%) Male,28.428,Estimate.
19,Americas,2015,Employment by industry: Services (%) Male,59.035,Estimate.
19,Americas,2015,Employment by industry: Agriculture (%) Female,4.536,Estimate.
19,Americas,2015,Employment by industry: Industry (%) Female,10.831,Estimate.
19,Americas,2015,Employment by industry: Services (%) Female,84.633,Estimate.
19,Americas,2020,Employment by industry: Agriculture (%) Male and Female,8.954,Estimate.
19,Americas,2020,Employment by industry: Industry (%) Male and Female,20.046,Estimate.
19,Americas,2020,Employment by industry: Services (%) Male and Female,71,Estimate.
19,Americas,2020,Employment by industry: Agriculture (%) Male,12.306,Estimate.
19,Americas,2020,Employment by industry: Industry (%) Male,27.331,Estimate.
19,Americas,2020,Employment by industry: Services (%) Male,60.363,Estimate.
19,Americas,2020,Employment by industry: Agriculture (%) Female,4.506,Estimate.
19,Americas,2020,Employment by industry: Industry (%) Female,10.384,Estimate.
19,Americas,2020,Employment by industry: Services (%) Female,85.11,Estimate.
21,Northern America,2005,Employment by industry: Agriculture (%) Male and Female,1.48,Estimate.
21,Northern America,2005,Employment by industry: Industry (%) Male and Female,22.306,Estimate.
21,Northern America,2005,Employment by industry: Services (%) Male and Female,76.213,Estimate.
21,Northern America,2005,Employment by industry: Agriculture (%) Male,2.045,Estimate.
21,Northern America,2005,Employment by industry: Industry (%) Male,32.471,Estimate.
21,Northern America,2005,Employment by industry: Services (%) Male,65.484,Estimate.
21,Northern America,2005,Employment by industry: Agriculture (%) Female,0.814,Estimate.
21,Northern America,2005,Employment by industry: Industry (%) Female,10.307,Estimate.
21,Northern America,2005,Employment by industry: Services (%) Female,88.878,Estimate.
21,Northern America,2010,Employment by industry: Agriculture (%) Male and Female,1.465,Estimate.
21,Northern America,2010,Employment by industry: Industry (%) Male and Female,19.695,Estimate.
21,Northern America,2010,Employment by industry: Services (%) Male and Female,78.84,Estimate.
21,Northern America,2010,Employment by industry: Agriculture (%) Male,2.069,Estimate.
21,Northern America,2010,Employment by industry: Industry (%) Male,29.57,Estimate.
21,Northern America,2010,Employment by industry: Services (%) Male,68.361,Estimate.
21,Northern America,2010,Employment by industry: Agriculture (%) Female,0.778,Estimate.
21,Northern America,2010,Employment by industry: Industry (%) Female,8.47,Estimate.
21,Northern America,2010,Employment by industry: Services (%) Female,90.752,Estimate.
21,Northern America,2015,Employment by industry: Agriculture (%) Male and Female,1.459,Estimate.
21,Northern America,2015,Employment by industry: Industry (%) Male and Female,19.869,Estimate.
21,Northern America,2015,Employment by industry: Services (%) Male and Female,78.672,Estimate.
21,Northern America,2015,Employment by industry: Agriculture (%) Male,2.036,Estimate.
21,Northern America,2015,Employment by industry: Industry (%) Male,29.324,Estimate.
21,Northern America,2015,Employment by industry: Services (%) Male,68.64,Estimate.
21,Northern America,2015,Employment by industry: Agriculture (%) Female,0.784,Estimate.
21,Northern America,2015,Employment by industry: Industry (%) Female,8.802,Estimate.
21,Northern America,2015,Employment by industry: Services (%) Female,90.414,Estimate.
21,Northern America,2020,Employment by industry: Agriculture (%) Male and Female,1.324,Estimate.
21,Northern America,2020,Employment by industry: Industry (%) Male and Female,19.672,Estimate.
21,Northern America,2020,Employment by industry: Services (%) Male and Female,79.004,Estimate.
21,Northern America,2020,Employment by industry: Agriculture (%) Male,1.841,Estimate.
21,Northern America,2020,Employment by industry: Industry (%) Male,29.226,Estimate.
21,Northern America,2020,Employment by industry: Services (%) Male,68.933,Estimate.
21,Northern America,2020,Employment by industry: Agriculture (%) Female,0.721,Estimate.
21,Northern America,2020,Employment by industry: Industry (%) Female,8.54,Estimate.
21,Northern America,2020,Employment by industry: Services (%) Female,90.739,Estimate.
419,Latin America & the Caribbean,2005,Employment by industry: Agriculture (%) Male and Female,18.014,Estimate.
419,Latin America & the Caribbean,2005,Employment by industry: Industry (%) Male and Female,21.72,Estimate.
419,Latin America & the Caribbean,2005,Employment by industry: Services (%) Male and Female,60.266,Estimate.
419,Latin America & the Caribbean,2005,Employment by industry: Agriculture (%) Male,22.807,Estimate.
419,Latin America & the Caribbean,2005,Employment by industry: Industry (%) Male,26.796,Estimate.
419,Latin America & the Caribbean,2005,Employment by industry: Services (%) Male,50.397,Estimate.
419,Latin America & the Caribbean,2005,Employment by industry: Agriculture (%) Female,10.608,Estimate.
419,Latin America & the Caribbean,2005,Employment by industry: Industry (%) Female,13.876,Estimate.
419,Latin America & the Caribbean,2005,Employment by industry: Services (%) Female,75.516,Estimate.
419,Latin America & the Caribbean,2010,Employment by industry: Agriculture (%) Male and Female,15.403,Estimate.
419,Latin America & the Caribbean,2010,Employment by industry: Industry (%) Male and Female,21.609,Estimate.
419,Latin America & the Caribbean,2010,Employment by industry: Services (%) Male and Female,62.988,Estimate.
419,Latin America & the Caribbean,2010,Employment by industry: Agriculture (%) Male,20.196,Estimate.
419,Latin America & the Caribbean,2010,Employment by industry: Industry (%) Male,27.432,Estimate.
419,Latin America & the Caribbean,2010,Employment by industry: Services (%) Male,52.371,Estimate.
419,Latin America & the Caribbean,2010,Employment by industry: Agriculture (%) Female,8.211,Estimate.
419,Latin America & the Caribbean,2010,Employment by industry: Industry (%) Female,12.871,Estimate.
419,Latin America & the Caribbean,2010,Employment by industry: Services (%) Female,78.918,Estimate.
419,Latin America & the Caribbean,2015,Employment by industry: Agriculture (%) Male and Female,13.874,Estimate.
419,Latin America & the Caribbean,2015,Employment by industry: Industry (%) Male and Female,21.567,Estimate.
419,Latin America & the Caribbean,2015,Employment by industry: Services (%) Male and Female,64.559,Estimate.
419,Latin America & the Caribbean,2015,Employment by industry: Agriculture (%) Male,18.447,Estimate.
419,Latin America & the Caribbean,2015,Employment by industry: Industry (%) Male,27.924,Estimate.
419,Latin America & the Caribbean,2015,Employment by industry: Services (%) Male,53.629,Estimate.
419,Latin America & the Caribbean,2015,Employment by industry: Agriculture (%) Female,7.178,Estimate.
