Region/Country/Area		Year	Series	Value	Footnotes	Source
1	"Total, all countries or areas"	2015	Employment by industry: Agriculture (%) Male and Female	28.872	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1	"Total, all countries or areas"	2015	Employment by industry: Industry (%) Male and Female	23.161	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1	"Total, all countries or areas"	2015	Employment by industry: Services (%) Male and Female	47.968	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1	"Total, all countries or areas"	2015	Employment by industry: Agriculture (%) Male	29.624	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1	"Total, all countries or areas"	2015	Employment by industry: Industry (%) Male	27.252	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1	"Total, all countries or areas"	2015	Employment by industry: Services (%) Male	43.123	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1	"Total, all countries or areas"	2015	Employment by industry: Agriculture (%) Female	27.686	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1	"Total, all countries or areas"	2015	Employment by industry: Industry (%) Female	16.715	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1	"Total, all countries or areas"	2015	Employment by industry: Services (%) Female	55.598	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1	"Total, all countries or areas"	2020	Employment by industry: Agriculture (%) Male and Female	26.48	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1	"Total, all countries or areas"	2020	Employment by industry: Industry (%) Male and Female	23.113	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1	"Total, all countries or areas"	2020	Employment by industry: Services (%) Male and Female	50.407	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1	"Total, all countries or areas"	2020	Employment by industry: Agriculture (%) Male	27.178	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1	"Total, all countries or areas"	2020	Employment by industry: Industry (%) Male	27.592	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1	"Total, all countries or areas"	2020	Employment by industry: Services (%) Male	45.23	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1	"Total, all countries or areas"	2020	Employment by industry: Agriculture (%) Female	25.376	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1	"Total, all countries or areas"	2020	Employment by industry: Industry (%) Female	16.03	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1	"Total, all countries or areas"	2020	Employment by industry: Services (%) Female	58.594	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
2	Africa	2005	Employment by industry: Agriculture (%) Male and Female	56.629	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
2	Africa	2005	Employment by industry: Industry (%) Male and Female	11.598	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
2	Africa	2005	Employment by industry: Services (%) Male and Female	31.773	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
2	Africa	2005	Employment by industry: Agriculture (%) Male	53.062	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
2	Africa	2005	Employment by industry: Industry (%) Male	14.516	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
2	Africa	2005	Employment by industry: Services (%) Male	32.423	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
2	Africa	2005	Employment by industry: Agriculture (%) Female	61.425	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
2	Africa	2005	Employment by industry: Industry (%) Female	7.675	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
2	Africa	2005	Employment by industry: Services (%) Female	30.899	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
2	Africa	2010	Employment by industry: Agriculture (%) Male and Female	53.444	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
2	Africa	2010	Employment by industry: Industry (%) Male and Female	12.22	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
2	Africa	2010	Employment by industry: Services (%) Male and Female	34.336	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
2	Africa	2010	Employment by industry: Agriculture (%) Male	50.439	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
2	Africa	2010	Employment by industry: Industry (%) Male	15.568	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
2	Africa	2010	Employment by industry: Services (%) Male	33.993	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
2	Africa	2010	Employment by industry: Agriculture (%) Female	57.492	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
2	Africa	2010	Employment by industry: Industry (%) Female	7.71	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
2	Africa	2010	Employment by industry: Services (%) Female	34.799	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
2	Africa	2015	Employment by industry: Agriculture (%) Male and Female	50.379	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
2	Africa	2015	Employment by industry: Industry (%) Male and Female	12.97	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
2	Africa	2015	Employment by industry: Services (%) Male and Female	36.652	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
2	Africa	2015	Employment by industry: Agriculture (%) Male	48.257	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
2	Africa	2015	Employment by industry: Industry (%) Male	16.563	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
2	Africa	2015	Employment by industry: Services (%) Male	35.18	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
2	Africa	2015	Employment by industry: Agriculture (%) Female	53.207	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
2	Africa	2015	Employment by industry: Industry (%) Female	8.179	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
2	Africa	2015	Employment by industry: Services (%) Female	38.614	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
2	Africa	2020	Employment by industry: Agriculture (%) Male and Female	48.67	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
2	Africa	2020	Employment by industry: Industry (%) Male and Female	13.259	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
2	Africa	2020	Employment by industry: Services (%) Male and Female	38.071	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
2	Africa	2020	Employment by industry: Agriculture (%) Male	47.07	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
2	Africa	2020	Employment by industry: Industry (%) Male	17.066	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
2	Africa	2020	Employment by industry: Services (%) Male	35.864	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
2	Africa	2020	Employment by industry: Agriculture (%) Female	50.772	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
2	Africa	2020	Employment by industry: Industry (%) Female	8.258	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
2	Africa	2020	Employment by industry: Services (%) Female	40.969	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
15	Northern Africa	2005	Employment by industry: Agriculture (%) Male and Female	33.263	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
15	Northern Africa	2005	Employment by industry: Industry (%) Male and Female	21.493	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
15	Northern Africa	2005	Employment by industry: Services (%) Male and Female	45.244	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
15	Northern Africa	2005	Employment by industry: Agriculture (%) Male	29.726	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
15	Northern Africa	2005	Employment by industry: Industry (%) Male	24.004	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
15	Northern Africa	2005	Employment by industry: Services (%) Male	46.271	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
15	Northern Africa	2005	Employment by industry: Agriculture (%) Female	46.399	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
15	Northern Africa	2005	Employment by industry: Industry (%) Female	12.17	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
15	Northern Africa	2005	Employment by industry: Services (%) Female	41.431	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
15	Northern Africa	2010	Employment by industry: Agriculture (%) Male and Female	29.234	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
15	Northern Africa	2010	Employment by industry: Industry (%) Male and Female	24.51	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
15	Northern Africa	2010	Employment by industry: Services (%) Male and Female	46.257	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
15	Northern Africa	2010	Employment by industry: Agriculture (%) Male	25.522	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
15	Northern Africa	2010	Employment by industry: Industry (%) Male	28.072	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
15	Northern Africa	2010	Employment by industry: Services (%) Male	46.406	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
15	Northern Africa	2010	Employment by industry: Agriculture (%) Female	42.849	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
15	Northern Africa	2010	Employment by industry: Industry (%) Female	11.442	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
15	Northern Africa	2010	Employment by industry: Services (%) Female	45.709	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
15	Northern Africa	2015	Employment by industry: Agriculture (%) Male and Female	26.71	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
15	Northern Africa	2015	Employment by industry: Industry (%) Male and Female	24.634	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
15	Northern Africa	2015	Employment by industry: Services (%) Male and Female	48.656	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
15	Northern Africa	2015	Employment by industry: Agriculture (%) Male	23.231	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
15	Northern Africa	2015	Employment by industry: Industry (%) Male	28.373	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
15	Northern Africa	2015	Employment by industry: Services (%) Male	48.396	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
15	Northern Africa	2015	Employment by industry: Agriculture (%) Female	39.204	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
15	Northern Africa	2015	Employment by industry: Industry (%) Female	11.205	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
15	Northern Africa	2015	Employment by industry: Services (%) Female	49.591	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
15	Northern Africa	2020	Employment by industry: Agriculture (%) Male and Female	24.789	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
15	Northern Africa	2020	Employment by industry: Industry (%) Male and Female	25.574	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
15	Northern Africa	2020	Employment by industry: Services (%) Male and Female	49.637	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
15	Northern Africa	2020	Employment by industry: Agriculture (%) Male	21.661	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
15	Northern Africa	2020	Employment by industry: Industry (%) Male	29.605	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
15	Northern Africa	2020	Employment by industry: Services (%) Male	48.734	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
15	Northern Africa	2020	Employment by industry: Agriculture (%) Female	35.966	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
15	Northern Africa	2020	Employment by industry: Industry (%) Female	11.17	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
15	Northern Africa	2020	Employment by industry: Services (%) Female	52.864	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
202	Sub-Saharan Africa	2005	Employment by industry: Agriculture (%) Male and Female	61.023	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
202	Sub-Saharan Africa	2005	Employment by industry: Industry (%) Male and Female	9.737	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
202	Sub-Saharan Africa	2005	Employment by industry: Services (%) Male and Female	29.24	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
202	Sub-Saharan Africa	2005	Employment by industry: Agriculture (%) Male	59.547	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
202	Sub-Saharan Africa	2005	Employment by industry: Industry (%) Male	11.879	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
202	Sub-Saharan Africa	2005	Employment by industry: Services (%) Male	28.574	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
202	Sub-Saharan Africa	2005	Employment by industry: Agriculture (%) Female	62.709	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
202	Sub-Saharan Africa	2005	Employment by industry: Industry (%) Female	7.291	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
202	Sub-Saharan Africa	2005	Employment by industry: Services (%) Female	29.999	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
202	Sub-Saharan Africa	2010	Employment by industry: Agriculture (%) Male and Female	58.08	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
202	Sub-Saharan Africa	2010	Employment by industry: Industry (%) Male and Female	9.866	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
202	Sub-Saharan Africa	2010	Employment by industry: Services (%) Male and Female	32.053	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
202	Sub-Saharan Africa	2010	Employment by industry: Agriculture (%) Male	57.469	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
202	Sub-Saharan Africa	2010	Employment by industry: Industry (%) Male	12.04	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
202	Sub-Saharan Africa	2010	Employment by industry: Services (%) Male	30.491	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
202	Sub-Saharan Africa	2010	Employment by industry: Agriculture (%) Female	58.779	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
202	Sub-Saharan Africa	2010	Employment by industry: Industry (%) Female	7.381	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
202	Sub-Saharan Africa	2010	Employment by industry: Services (%) Female	33.839	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
202	Sub-Saharan Africa	2015	Employment by industry: Agriculture (%) Male and Female	54.537	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
202	Sub-Saharan Africa	2015	Employment by industry: Industry (%) Male and Female	10.92	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
202	Sub-Saharan Africa	2015	Employment by industry: Services (%) Male and Female	34.543	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
202	Sub-Saharan Africa	2015	Employment by industry: Agriculture (%) Male	54.693	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
202	Sub-Saharan Africa	2015	Employment by industry: Industry (%) Male	13.526	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
202	Sub-Saharan Africa	2015	Employment by industry: Services (%) Male	31.781	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
202	Sub-Saharan Africa	2015	Employment by industry: Agriculture (%) Female	54.357	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
202	Sub-Saharan Africa	2015	Employment by industry: Industry (%) Female	7.931	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
